ARO Accession	CVTERM ID	Model Sequence ID	Model ID	Model Name	ARO Name	Protein Accession	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism
ARO:3002583	38983	5868	300	AAC(6')-29a	AAC(6')-29a	WP_064190968.1	NG_048575.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002584	38984	5898	659	AAC(6')-29b	AAC(6')-29b	WP_064190969.1	NG_048576.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002599	38999	186	922	AAC(6')-30/AAC(6')-Ib' fusion protein	AAC(6')-30/AAC(6')-Ib' fusion protein	CAE48335.2	AJ584652	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002585	38985	267	1093	AAC(6')-31	AAC(6')-31	CAK55557.1	AM283489	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002586	38986	310	1577	AAC(6')-32	AAC(6')-32	ABR10839.1	EF614235	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002587	38987	362	924	AAC(6')-33	AAC(6')-33	AEZ05106.1	JN596280	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3003989	40871	3861	2525	AAC(6')-34	AAC(6')-34	APB03223.1	KX531053.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002588	38988	399	1365	AAC(6')-I30	AAC(6')-I30	AAP43642.1	AY289608	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002545	38945	547	574	AAC(6')-Ia	AAC(6')-Ia	AAA98298.1	M18967	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002571	38971	5208	1526	AAC(6')-Iaa	AAC(6')-Iaa	AAL20537.1	AE006468.2	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002572	38972	264	1911	AAC(6')-Iad	AAC(6')-Iad	BAD12078.1	AB119105	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002573	38973	583	738	AAC(6')-Iae	AAC(6')-Iae	BAD14386.1	AB104852	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002574	38974	672	156	AAC(6')-Iaf	AAC(6')-Iaf	BAH66386.1	AB462903	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3004638	42632	5449	3338	AAC(6')-Iag	AAC(6')-Iag	BAN78519.1	AB472901.2	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002575	38975	708	1602	AAC(6')-Iai	AAC(6')-Iai	ACI28880.1	EU886977	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3003677	40309	3379	2191	AAC(6')-Iaj	AAC(6')-Iaj	BAM46120.1	AB709942	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3003199	39782	4672	1909	AAC(6')-Iak	AAC(6')-Iak	BAO21229.1	AB894482.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3003200	39784	5297	3319	AAC(6')-Ian	AAC(6')-Ian	BAQ22025.1	AP014611	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002546	38946	231	63	AAC(6')-Ib	AAC(6')-Ib	AFJ11384.1	JQ808129	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3003676	40308	4753	1235	AAC(6')-Ib'	AAC(6')-Ib'	AAT74613.1	AY660529.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002581	38981	314	1370	AAC(6')-Ib10	AAC(6')-Ib10	AAC46343.1	U59183	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002582	38982	366	1801	AAC(6')-Ib11	AAC(6')-Ib11	AAN41403.1	AY136758	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002576	38976	141	1068	AAC(6')-Ib3	AAC(6')-Ib3	ACS44715.1	FJ854362	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002577	38977	401	1002	AAC(6')-Ib4	AAC(6')-Ib4	AAL38577.1	AF445082	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002578	38978	5850	2117	AAC(6')-Ib7	AAC(6')-Ib7	AKN19287.1	KR091911.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002579	38979	5456	2071	AAC(6')-Ib8	AAC(6')-Ib8	AIK02012.1	KF998105.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002580	38980	463	993	AAC(6')-Ib9	AAC(6')-Ib9	AAD02244.1	AF043381	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002547	38947	272	1678	AAC(6')-Ib-cr	AAC(6')-Ib-cr	ABC17627.1	DQ303918	AAC(6')	aminoglycoside antibiotic;fluoroquinolone antibiotic	antibiotic inactivation
ARO:3002592	38992	29	1000	AAC(6')-Ib-Hangzhou	AAC(6')-Ib-Hangzhou	ACL37342.1	FJ503047	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002593	38993	360	1024	AAC(6')-Ib-SK	AAC(6')-Ib-SK	BAD11815.1	AB164230	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002591	38991	83	444	AAC(6')-Ib-Suzhou	AAC(6')-Ib-Suzhou	ABU55430.1	EU085533	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002549	38949	306	1299	AAC(6')-Ic	AAC(6')-Ic	AAA26549.1	M94066	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002597	38997	5296	1814	AAC(6')-Ie-APH(2'')-Ia	AAC(6')-Ie-APH(2'')-Ia	AAA88548.1	GU565967.1	AAC(6');APH(2'')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002553	38953	358	1651	AAC(6')-If	AAC(6')-If	CAA39038.1	X55353	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002554	38954	396	1111	AAC(6')-Ig	AAC(6')-Ig	AAA21889.1	L09246	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002555	38955	456	676	AAC(6')-Ih	AAC(6')-Ih	AAC41391.1	L29044	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002556	38956	172	1050	AAC(6')-Ii	AAC(6')-Ii	AAB63533.1	L12710	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002594	38994	460	1657	AAC(6')-IIa	AAC(6')-IIa	AAM92464.1	AY123251	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002595	38995	497	140	AAC(6')-IIb	AAC(6')-IIb	AAA25680.1	L06163	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002596	38996	313	730	AAC(6')-IIc	AAC(6')-IIc	AAD46626.1	AF162771	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002589	38989	207	1831	AAC(6')-Iid	AAC(6')-Iid	CAE50925.1	AJ584700	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002590	38990	250	1891	AAC(6')-Iih	AAC(6')-Iih	CAE50926.1	AJ584701	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002557	38957	494	724	AAC(6')-Ij	AAC(6')-Ij	AAC41392.1	L29045	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002558	38958	541	1977	AAC(6')-Ik	AAC(6')-Ik	AAA87229.1	L29510	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3004635	42624	5422	3334	AAC(6')-Il	AAC(6')-Il	AAA90937.1	U13880.2	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3004629	42615	5375	3328	AAC(6')-Im	AAC(6')-Im	AAK63041.1	AF337947.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002559	38959	5237	1653	AAC(6')-Ip	AAC(6')-Ip	CAA91010.1	Z54241.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002560	38960	343	1327	AAC(6')-Iq	AAC(6')-Iq	AAC25500.1	AF047556	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002561	38961	581	1821	AAC(6')-Ir	AAC(6')-Ir	AAD03490.1	AF031326	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002562	38962	669	544	AAC(6')-Is	AAC(6')-Is	AAD03491.1	AF031327	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002563	38963	705	967	AAC(6')-Isa	AAC(6')-Isa	BAD10948.2	AB116646	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002564	38964	736	1674	AAC(6')-It	AAC(6')-It	AAD03492.1	AF031328	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002565	38965	27	110	AAC(6')-Iu	AAC(6')-Iu	AAD03493.1	AF031329	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002566	38966	81	784	AAC(6')-Iv	AAC(6')-Iv	AAD03494.1	AF031330	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002567	38967	139	1271	AAC(6')-Iw	AAC(6')-Iw	AAD03495.1	AF031331	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002568	38968	170	1939	AAC(6')-Ix	AAC(6')-Ix	AAD03496.1	AF031332	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002569	38969	397	360	AAC(6')-Iy	AAC(6')-Iy	AAF03531.1	AF144880	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002570	38970	205	1995	AAC(6')-Iz	AAC(6')-Iz	AAD52985.1	AF140221	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3004641	42650	5464	3340	aacA43	aacA43	AEA07977.1	HQ247816.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002628	39028	4434	1562	aad(6)	aad(6)	AAU10334.1	AY712687	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002601	39001	5220	650	aadA	aadA	AAO49597.1	AF550679.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3004692	42744	5586	3398	aadA10	aadA10	AAL36430.1	U37105.2	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002611	39011	13	1772	aadA11	aadA11	AAV32840.1	AY758206	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002612	39012	57	149	aadA12	aadA12	ACJ47200.1	FJ381668	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002613	39013	5258	2087	aadA13	aadA13	ABW91178.1	EU746499.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002614	39014	4676	1839	aadA14	aadA14	CAI57696.1	AJ884726.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002615	39015	116	1162	aadA15	aadA15	ABD58917.1	DQ393783	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002616	39016	373	1762	aadA16	aadA16	ACF17980.1	EU675686	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002617	39017	160	502	aadA17	aadA17	ACK43806.1	FJ460181	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002602	39002	3404	1227	aadA2	aadA2	AAF27727.1	AF156486	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002618	39018	195	584	aadA21	aadA21	AAN87151.1	AY171244	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002619	39019	238	1392	aadA22	aadA22	CAK12750.1	AM261837	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002620	39020	280	69	aadA23	aadA23	CAH10847.1	AJ809407	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002621	39021	330	1682	aadA24	aadA24	ABG72894.1	DQ677333	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3003197	39780	3329	642	aadA25	aadA25	AET15272.1	CP003022	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3004682	42731	5567	3381	aadA27	aadA27	CTQ57092.1	LN873256.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002603	39003	372	1539	aadA3	aadA3	AAC14728.1	AF047479	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002604	39004	408	120	aadA4	aadA4	AAN34365.1	AY138986	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002605	39005	471	1420	aadA5	aadA5	AAF17880.1	AF137361	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002606	39006	199	2009	aadA6	aadA6	CAJ32504.1	AM087411	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002622	39022	409	1242	aadA6/aadA10	aadA6/aadA10	CAJ32491.1	AM087405	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002607	39007	516	1464	aadA7	aadA7	BAD00739.1	AB114632	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002608	39008	558	2043	aadA8	aadA8	AAN41439.1	AY139603	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3004704	42757	5587	3399	aadA8b	aadA8b	CAJ13568.1	AM040708.1	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002609	39009	4491	323	aadA9	aadA9	ABG49324.1	DQ390458	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002627	39027	4533	426	aadK	aadK	CAB14620.1	AL009126	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation
ARO:3004683	42732	5568	3382	aadS	aadS	AAA27459.1	M72415.1	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation
ARO:3003942	40695	4691	2416	abcA	abcA	XP_753111.1	XM_748018.1	ATP-binding cassette (ABC) antibiotic efflux pump	cephalosporin;penam;peptide antibiotic	antibiotic efflux
ARO:3000753	37133	671	1368	abeM	abeM	BAD89844.2	AB204810	multidrug and toxic compound extrusion (MATE) transporter	acridine dye;fluoroquinolone antibiotic;triclosan	antibiotic efflux
ARO:3000768	37148	4569	593	abeS	abeS	ACJ59254.1	CP001172.1	small multidrug resistance (SMR) antibiotic efflux pump	aminocoumarin antibiotic;macrolide antibiotic	antibiotic efflux
ARO:3001815	38215	856	1663	ACC-1	ACC-1	CAB46491.1	AJ133121	ACC beta-lactamase	cephalosporin;monobactam;penam	antibiotic inactivation
ARO:3001816	38216	1852	2024	ACC-2	ACC-2	AAF86691.1	AF180952	ACC beta-lactamase	cephalosporin;monobactam;penam	antibiotic inactivation
ARO:3001817	38217	1910	1422	ACC-3	ACC-3	AAF86697.1	AF180958	ACC beta-lactamase	cephalosporin;monobactam;penam	antibiotic inactivation
ARO:3001818	38218	4498	406	ACC-4	ACC-4	ABP49606.1	EF504260	ACC beta-lactamase	cephalosporin;monobactam;penam	antibiotic inactivation
ARO:3001819	38219	778	1865	ACC-5	ACC-5	CCK86740.1	HE819401	ACC beta-lactamase	cephalosporin;monobactam;penam	antibiotic inactivation
ARO:3004359	41531	4259	2874	ACI-1	ACI-1	CAB51471.1	AJ007350.1	ACI beta-lactamase	cephalosporin;penam;penem	antibiotic inactivation
ARO:3004573	42487	5139	3277	Acinetobacter baumannii AbaF	Acinetobacter baumannii AbaF	ABO11759.2	CP000521.1	major facilitator superfamily (MFS) antibiotic efflux pump	fosfomycin	antibiotic efflux
ARO:3004574	42490	5314	3278	Acinetobacter baumannii AbaQ	Acinetobacter baumannii AbaQ	ACJ41547.2	CP001182.2	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
ARO:3004578	42502	5148	3281	Acinetobacter baumannii AbuO	Acinetobacter baumannii AbuO	WP_001985623.1	NC_010410.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic;benzalkonium chloride;carbapenem;cephalosporin;glycylcycline;penam;tetracycline antibiotic	antibiotic efflux
ARO:3003796	40481	3566	2300	Acinetobacter baumannii AmpC beta-lactamase	Acinetobacter baumannii ampC beta-lactamase	ACJ42146.1	CP001182.1	ampC-type beta-lactamase	cephalosporin;penam	antibiotic inactivation
ARO:3004577	42497	5144	3280	Acinetobacter baumannii AmvA	Acinetobacter baumannii AmvA	ACQ82816.1	FJ911554.1	major facilitator superfamily (MFS) antibiotic efflux pump	acridine dye;macrolide antibiotic	antibiotic efflux
ARO:3003817	40507	4623	2314	Acinetobacter baumannii gyrA conferring resistance to fluoroquinolones	Acinetobacter baumannii gyrA conferring resistance to fluoroquinolones	AJF82744.1	CP010781.1	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic;nybomycin	antibiotic target alteration
ARO:3003809	40495	4419	2308	Acinetobacter OprD conferring resistance to imipenem	Acinetobacter baumannii OprD conferring resistance to imipenem	AHB92962.1	CP006768.1	Outer Membrane Porin (Opr)	carbapenem;cephalosporin;cephamycin;monobactam;penam;penem	reduced permeability to antibiotic;resistance by absence
ARO:3003818	40508	6039	2315	Acinetobacter baumannii parC conferring resistance to fluoroquinolone	Acinetobacter baumannii parC conferring resistance to fluoroquinolones	WP_000202252.1	NZ_CP009257.1	fluoroquinolone resistant parC	fluoroquinolone antibiotic	antibiotic target alteration
ARO:3000216	36355	5485	1104	acrB	acrB	AAC73564.1	U00096.3	resistance-nodulation-cell division (RND) antibiotic efflux pump	cephalosporin;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan	antibiotic efflux
ARO:3000491	36630	5517	1427	acrD	acrD	BAA16344.1	AP009048.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic	antibiotic efflux
ARO:3000499	36638	333	1445	acrE	AcrE	AAC76297.1	U00096	resistance-nodulation-cell division (RND) antibiotic efflux pump	cephalosporin;cephamycin;fluoroquinolone antibiotic;penam	antibiotic efflux
ARO:3000502	36641	700	1437	acrF	AcrF	AAC76298.1	U00096	resistance-nodulation-cell division (RND) antibiotic efflux pump	cephalosporin;cephamycin;fluoroquinolone antibiotic;penam	antibiotic efflux
ARO:3000656	37000	4558	520	acrS	AcrS	AAC76296.1	U00096	resistance-nodulation-cell division (RND) antibiotic efflux pump	cephalosporin;cephamycin;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan	antibiotic efflux
ARO:3001821	38221	860	667	ACT-1	ACT-1	AAC45086.2	U58495	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ARO:3001832	38232	940	22	ACT-10	ACT-10	AEV91214.1	JN848330	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ARO:3001834	38234	1017	1506	ACT-12	ACT-12	AFU25650.1	JX440355	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ARO:3001835	38235	1094	1900	ACT-13	ACT-13	CCK86741.1	HE819402	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ARO:3001836	38236	1176	1541	ACT-14	ACT-14	AFU25647.1	JX440354	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ARO:3001837	38237	1262	951	ACT-15	ACT-15	AFU25653.1	JX440356	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ARO:3001827	38227	1341	638	ACT-16	ACT-16	BAM34463.1	AB737978	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ARO:3001838	38238	1418	1114	ACT-17	ACT-17	AHM76771.1	KF992026	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ARO:3001839	38239	1505	1565	ACT-18	ACT-18	AHM76777.1	KF992028	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ARO:3001840	38240	1583	236	ACT-19	ACT-19	AHM76779.1	KF992029	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ARO:3001822	38222	1812	526	ACT-2	ACT-2	CAJ28994.1	AM076977	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ARO:3001841	38241	1853	1309	ACT-20	ACT-20	AHA80105.1	KF526117	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ARO:3001842	38242	1854	1905	ACT-21	ACT-21	AHA80106.1	KF526118	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ARO:3001843	38243	1911	401	ACT-22	ACT-22	AHM76774.1	KF992027	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ARO:3001828	38228	1990	1645	ACT-23	ACT-23	AGU38146.1	KF515536	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ARO:3001844	38244	779	1929	ACT-24	ACT-24	AHL39336.1	KJ207207	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ARO:3001845	38245	861	433	ACT-25	ACT-25	AHL39338.1	KJ207208	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ARO:3001847	38247	941	1484	ACT-27	ACT-27	AHL39340.1	KJ207209	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ARO:3001848	38248	1018	1700	ACT-28	ACT-28	AHL39333.1	KJ207206	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ARO:3001849	38249	1095	80	ACT-29	ACT-29	AIT76085.1	KM087832	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ARO:3001823	38223	1177	1581	ACT-3	ACT-3	ABL67017.1	EF125013	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ARO:3001850	38250	1263	241	ACT-30	ACT-30	AIT76086.1	KM087833	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ARO:3001851	38251	1342	700	ACT-31	ACT-31	AIT76096.1	KM087843	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ARO:3001852	38252	1419	1904	ACT-32	ACT-32	AIT76088.1	KM087835	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ARO:3001853	38253	3684	2135	ACT-33	ACT-33	AIT76087.1	KM087834.1	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
ARO:3001855	38255	1584	9	ACT-35	ACT-35	BAP68758.1	LC004922	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation
